Nodo,BC,CC,DC,DiBC,DiCC,DiDC
169,0.05086371498154658,0.08443942389155605,0.013377926421404682,0.056315661306979396,0.07319461444308445,0.013377926421404682
170,0.03695103179747526,0.0805278750336655,0.010033444816053512,0.04903654229074878,0.07090348589044344,0.010033444816053512
171,0.038634500198578815,0.08214285714285714,0.010033444816053512,0.04903654229074876,0.06625304675382229,0.010033444816053512
172,0.06554405301756605,0.08368317940106353,0.013377926421404682,0.09105907223794595,0.07090348589044344,0.013377926421404682
173,0.12411923007097311,0.08185053380782918,0.013377926421404682,0.08869825979598897,0.07360905957656327,0.013377926421404682
174,0.042158499468257817,0.07816993464052288,0.010033444816053512,0.08377995322171512,0.07108892058963386,0.010033444816053512
175,0.03742876964140198,0.07983978638184246,0.010033444816053512,0.08377995322171512,0.06641492669924479,0.010033444816053512
176,0.04318498376372025,0.08696916812100058,0.013377926421404682,0.05505555139345627,0.0727670966171818,0.013377926421404682
177,0.060118561614992405,0.08499147242751563,0.010033444816053512,0.06213973788662765,0.07631444614599285,0.010033444816053512
178,0.07083660185890411,0.08310172317954419,0.010033444816053512,0.062139737886627654,0.07095396298054106,0.010033444816053512
179,0.041729106905510766,0.08499147242751563,0.013377926421404682,0.06450055032858437,0.07360905957656327,0.013377926421404682
180,0.07470820004477557,0.09468017732742241,0.013377926421404682,0.12126503949860733,0.08191780821917809,0.013377926421404682
181,0.05403253534379411,0.09234095120444719,0.013377926421404682,0.07729202516188224,0.08009643718189124,0.013377926421404682
182,0.08178511347351385,0.08944062219563266,0.013377926421404682,0.10633058521796745,0.07641196013289037,0.013377926421404682
183,0.0759782620588729,0.09163346613545817,0.013377926421404682,0.09924639872479621,0.07631444614599285,0.013377926421404682
184,0.10959316712439535,0.09291485394655065,0.013377926421404682,0.10962270148876502,0.07639243740419009,0.013377926421404682
185,0.13834369167855035,0.09066100667070952,0.013377926421404682,0.10264675262486748,0.07529589524049358,0.013377926421404682
186,0.06803430913583028,0.09208500153988297,0.013377926421404682,0.06337011336367662,0.07196149217809868,0.013377926421404682
187,0.07671591074178691,0.09441111461951374,0.013377926421404682,0.10734312770040169,0.08009643718189124,0.013377926421404682
188,0.10711484378752721,0.08465458663646659,0.013377926421404682,0.0790094498439991,0.07199614736335179,0.013377926421404682
189,0.006368468875010592,0.08176100628930817,0.010033444816053512,0.008583795350646824,0.06921296296296296,0.010033444816053512
190,0.0339473923767357,0.08205268935236004,0.010033444816053512,0.06877137063889326,0.06518421626335295,0.010033444816053512
191,0.03910997935384152,0.08363636363636363,0.010033444816053512,0.06877137063889326,0.0612579389469371,0.010033444816053512
192,0.00884655085997094,0.08611751152073732,0.010033444816053512,0.03973281058280802,0.07641196013289037,0.010033444816053512
193,0.020448346150756205,0.0858948577994829,0.010033444816053512,0.039732810582808024,0.07103825136612021,0.010033444816053512
194,0.06402521938263353,0.09205665024630542,0.010033444816053512,0.060333203417533746,0.071072022819111,0.010033444816053512
195,0.07259232036461265,0.09346670834635824,0.010033444816053512,0.10483164826613908,0.07088667614983404,0.010033444816053512
196,0.1355305391663751,0.08944062219563266,0.010033444816053512,0.11465672252074337,0.07581135902636917,0.010033444816053512
197,0.1370603802900895,0.08735027753432661,0.010033444816053512,0.11465672252074337,0.0705188679245283,0.010033444816053512
198,0.02311281341684024,0.08856635071090048,0.013377926421404682,0.09969989401708107,0.06934137291280149,0.013377926421404682
199,0.0533752668465187,0.08707047175305765,0.010033444816053512,0.053357254553636234,0.0658300308234258,0.010033444816053512
200,0.04631290827230378,0.0853310502283105,0.010033444816053512,0.0970477387606072,0.05758859784283513,0.010033444816053512
201,0.022281529846851122,0.09071601941747573,0.013377926421404682,0.1036926161087235,0.07274939172749392,0.013377926421404682
202,0.10801956328387312,0.07724102299147508,0.010033444816053512,0.079329495035652,0.07108892058963386,0.010033444816053512
203,0.09647329317086578,0.07315879618301933,0.010033444816053512,0.079329495035652,0.06641492669924479,0.010033444816053512
204,0.04385415372216808,0.0702042733035924,0.010033444816053512,0.07441118846137815,0.06435643564356436,0.010033444816053512
205,0.04363978060312641,0.07395498392282958,0.010033444816053512,0.07441118846137815,0.060501821125050585,0.010033444816053512
206,0.08674236923498575,0.06959962756052142,0.010033444816053512,0.07009663082759081,0.06435643564356436,0.010033444816053512
207,0.07831422491383809,0.06644444444444444,0.010033444816053512,0.07009663082759082,0.060501821125050585,0.010033444816053512
208,0.04148600839926298,0.06399828767123288,0.010033444816053512,0.06517832425331696,0.05891625615763547,0.010033444816053512
209,0.04304437812832018,0.06692032229185318,0.010033444816053512,0.06517832425331696,0.05566933531930739,0.010033444816053512
210,0.07088530707431176,0.06361702127659574,0.010033444816053512,0.06140247506602916,0.05891625615763547,0.010033444816053512
211,0.064292018874107,0.061070261437908495,0.010033444816053512,0.06140247506602916,0.05566933531930739,0.010033444816053512
212,0.03662153766220831,0.05899763220205209,0.010033444816053512,0.056484168491755284,0.05459192988862516,0.010033444816053512
213,0.039313677177939856,0.061371100164203614,0.010033444816053512,0.056484168491755284,0.05179282868525897,0.010033444816053512
214,0.058440846419421044,0.05876572327044025,0.010033444816053512,0.05284299641609242,0.05459192988862516,0.010033444816053512
