,Unnamed: 0.1,Unnamed: 0,Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC,state RW,state_RW_UL,state_RWM,state_RWM_UL,MaxOcupation,mean_state_RW,mean_state_RW_lim,mean_state_RWM,mean_state_RWM_lim
428,428,428,428,"(242, 243)",0.0238544592234949,0.0478405315614617,0.0039682539682539,0.0131446608875038,0.0518092105263157,0.0039682539682539,13,5,0,0,15,12.7909,7.890803060296399,0.2032343712285783,0.6418921447550615
429,429,429,429,"(285, 286)",0.0028598251759285,0.0475651189127972,0.0039682539682539,0.0022977287197,0.0557768924302788,0.0039682539682539,8,6,1,1,10,16.32956,6.939757102348724,0.291173867567785,1.2947120242505894
430,430,430,430,"(287, 288)",0.0216912808861119,0.0502292206497907,0.0039682539682539,0.0022977287197,0.0557768924302788,0.0039682539682539,5,5,0,0,9,15.58396,6.30763469049275,0.2615656931370183,1.5758018038247072
431,431,431,431,"(288, 285)",0.0841390714668903,0.049925705794948,0.0079365079365079,0.0431185798645401,0.0575079872204472,0.0079365079365079,13,15,4,8,20,32.63262,14.04387138194853,12.050124708343391,10.81385427192096
432,432,432,432,"(242, 241)",0.0310966542017734,0.0478587028772196,0.0039682539682539,0.0423775951343859,0.0517453798767967,0.0039682539682539,105,106,0,0,106,12.78844,105.13712481943182,0.2121650977552498,1.172860297144568
433,433,433,433,"(241, 240)",0.0344963946479851,0.046979865771812,0.0079365079365079,0.0403013310786979,0.0498467016121056,0.0079365079365079,8,8,0,0,8,26.1081,7.965919426461934,0.7309518062595542,2.7875453762957974
434,434,434,434,"(240, 239)",0.0230777748475135,0.0448997772828507,0.0039682539682539,0.026801274974121,0.0481835564053537,0.0039682539682539,16,16,0,1,16,13.03162,14.936814509657054,0.2177166304610185,1.2233449346955578
435,435,435,435,"(239, 238)",0.0273507199433782,0.0443349753694581,0.0079365079365079,0.024923507568477,0.0468096962942323,0.0079365079365079,6,6,0,5,6,26.58224,5.838050398587556,1.0889854372837715,2.634931327420381
436,436,436,436,"(234, 235)",0.0319209084119621,0.0428936170212765,0.0079365079365079,0.0234764776108294,0.0457516339869281,0.0079365079365079,6,6,0,2,6,27.08862,5.939971109089936,0.9999195430042642,2.85198907226526
437,437,437,437,"(235, 236)",0.0276479633160973,0.0411529354127541,0.0039682539682539,0.0200596602181626,0.0464473320431296,0.0039682539682539,13,14,0,2,14,13.54288,12.75945642287732,0.2276932979322552,1.302683282811272
438,438,438,438,"(236, 237)",0.0390665831165688,0.0443349753694581,0.0079365079365079,0.0237420457941714,0.0476370510396975,0.0079365079365079,6,6,1,2,6,26.64916,5.847894708683324,1.1343631828787513,2.60903409303544
439,439,439,439,"(237, 243)",0.0356668426703572,0.0424814565070802,0.0039682539682539,0.0199513758671497,0.0490940970192869,0.0039682539682539,2,1,0,2,110,13.3146,2.917072387780215,0.2254405020516534,0.7397552486808129
440,440,440,440,"(286, 287)",0.0696723100550139,0.0528689814329172,0.0079365079365079,0.0736097894123692,0.0575736806031528,0.0079365079365079,14,17,0,8,18,31.17384,14.04558343587823,1.2453133799983909,7.096628120205082
441,441,441,441,"(238, 231)",0.0186509345288811,0.0424778761061946,0.0039682539682539,0.0153986619528645,0.0457932037070688,0.0039682539682539,4,13,0,0,48,13.33828,7.911668717564603,0.2195671413629415,1.059578608585008
442,442,442,442,"(231, 232)",0.0256427140107202,0.0428936170212765,0.0079365079365079,0.0148362955888542,0.0453237410071942,0.0079365079365079,11,12,0,2,12,27.10696,11.264726338879674,1.0691125593370343,3.8693162681037383
443,443,443,443,"(233, 230)",0.030212902479304,0.0431063975367772,0.0079365079365079,0.0287274307220206,0.0456811384029729,0.0079365079365079,14,14,0,5,14,27.6255,13.877320635600022,1.8766594255370503,4.634332547434602
444,444,444,444,"(230, 234)",0.0232211229974649,0.0413487570760521,0.0039682539682539,0.0217667161084183,0.0455449123441171,0.0039682539682539,44,46,0,5,46,13.76992,45.44229843240062,0.2389572773352643,1.897571198682684
445,445,445,445,"(232, 228)",0.0184162316351325,0.0411529354127541,0.0039682539682539,0.0086536196164865,0.0451815329448677,0.0039682539682539,6,5,0,1,146,13.56718,5.800492215504788,0.2260037010218038,2.48972718086898
446,446,446,446,"(228, 229)",0.0270851177891081,0.0431063975367772,0.0059523809523809,0.009172675433115,0.0453767894120824,0.0059523809523809,15,11,0,1,18,27.65464,11.018137071317746,1.528361090996862,5.156655813779424
447,447,447,447,"(226, 227)",0.0031188530194494,0.0397037970694816,0.0059523809523809,0.0019650493705247,0.04470066518847,0.0059523809523809,8,6,0,1,22,13.83988,5.530094697982986,0.2363826534717193,0.7433479285954867
